total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won_bet,profit_bet,prob_under,aposta_vencedora,lucro_aposta,probabilidade_under,valor_esperado,recomendado_modelo
22,29.229559748427672,LFL,30.516129032258064,29.44155844155844,under,33.5,won,1.83,22.0,0.5609560677137821,0.0,0.0,-0.7760435577368519,0.0,-0.8095983863874423,0.0,0.0,-0.9659723665617116,-1.1261807448375052,1,0.8300000000000001,0.655410661924386,1,0.8300000000000001,0.655410661924386,0.19940151132162642,True
32,28.83148148148148,LCK,30.842508710801393,30.5,under,30.5,lost,1.83,32.0,0.0,0.0,0.0,-0.7760435577368519,0.0,-1.0617142411045393,-0.913098065074376,0.5231029362444133,-1.1261807448375052,0.0,0,-1.0,0.6546202021874432,0,-1.0,0.6546202021874432,0.1979549700030211,True
34,33.06190476190476,NLC,31.42528735632184,30.29824561403509,under,30.5,lost,1.83,34.0,-0.5685724682663711,0.0,-1.9946898409830425,1.0984264443831435,0.0,0.0,0.0,-1.4326523672446747,-0.6816806276591585,-0.9659723665617116,0,-1.0,0.6523433794752694,0,-1.0,0.6523433794752694,0.1937883844397431,True
12,29.229559748427672,LFL,25.97647058823529,29.155555555555555,under,29.5,won,1.83,12.0,0.0,0.0,-1.9946898409830425,-0.7760435577368519,0.0,-0.8095983863874423,0.5231029362444133,0.9020397066897204,0.4654990225793156,1.7827561319782248,1,0.8300000000000001,0.6485167828212548,1,0.8300000000000001,0.6485167828212548,0.18678571256289633,True
29,27.14814814814815,LEC,25.46296296296296,28.75675675675676,under,28.5,lost,1.83,29.0,0.0,0.0,-0.64039106873566,1.256750867247696,0.0,-1.0617142411045393,0.0,0.0,0.0,-0.9659723665617116,0,-1.0,0.6434449144935098,0,-1.0,0.6434449144935098,0.17750419352312308,True
27,30.07286432160804,LPL,28.474074074074075,29.01020408163265,under,29.5,won,1.83,27.0,0.0,-1.5721442954792302,0.0,1.256750867247696,0.6655385399034301,0.0,-0.913098065074376,-0.468056459937813,-1.1261807448375052,-0.6816806276591585,1,0.8300000000000001,0.6425749340793778,1,0.8300000000000001,0.6425749340793778,0.17591212936526146,True
25,27.14814814814815,LEC,25.46296296296296,28.75675675675676,under,28.5,won,1.83,25.0,-1.155716943849221,0.5609560677137821,0.0,-0.7760435577368519,0.6655385399034301,0.0,0.0,0.0,0.4654990225793156,-0.6816806276591585,1,0.8300000000000001,0.6399353133400718,1,0.8300000000000001,0.6399353133400718,0.17108162341233146,True
31,31.37037037037037,CD,32.355932203389834,27.711111111111112,under,31.5,won,1.83,31.0,0.5609560677137821,-1.155716943849221,-0.7760435577368519,0.0,0.0,0.0,-0.913098065074376,0.0,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.6398902635877254,1,0.8300000000000001,0.6398902635877254,0.17099918236553746,True
29,33.0375,TCL,32.64556962025316,29.928571428571427,under,32.5,won,1.83,29.0,0.0,0.0,0.0,-0.6320467219229506,0.0,-1.0617142411045393,0.0,0.7520050888007717,-0.9659723665617116,-1.078880905409381,1,0.8300000000000001,0.6371169516676627,1,0.8300000000000001,0.6371169516676627,0.16592402155182273,True
26,29.229559748427672,LFL,26.232558139534884,28.729166666666668,under,29.5,won,1.83,26.0,0.0,0.0,0.0,0.0,0.6655385399034301,-0.6263770292967372,0.0,0.0,-2.2426813296105834,1.7827561319782248,1,0.8300000000000001,0.6347972630077421,1,0.8300000000000001,0.6347972630077421,0.16167899130416807,True
43,28.83148148148148,LCK,29.48958333333333,30.847619047619048,under,31.5,lost,1.83,43.0,0.5609560677137821,0.0,0.0,-0.7760435577368519,-1.1986585288014666,0.0,0.0,0.0,-2.2426813296105834,0.4654990225793156,0,-1.0,0.6344865113003031,0,-1.0,0.6344865113003031,0.1611103156795547,True
33,28.83148148148148,LCK,30.842508710801393,30.5,under,31.5,won,1.83,22.0,0.0,0.0,-1.9946898409830425,0.0,0.6655385399034301,0.0,0.0,0.0,0.0,-1.1261807448375052,1,0.8300000000000001,0.6341100094786875,1,0.8300000000000001,0.6341100094786875,0.16042131734599807,True
35,33.15511551155115,PRM,32.34375,30.884615384615383,under,33.5,lost,1.83,35.0,-1.155716943849221,-0.8659941634725179,1.0984264443831435,-0.7760435577368519,-0.8095983863874423,-1.0617142411045393,0.0,-0.468056459937813,-0.9659723665617116,0.4654990225793156,0,-1.0,0.6291750907983515,0,-1.0,0.6291750907983515,0.15139041616098337,True
32,27.14814814814815,LEC,29.3,25.46296296296296,under,24.5,lost,1.83,31.0,0.5609560677137821,0.0,0.0,0.0,0.0,0.6655385399034301,-0.913098065074376,0.0,-1.1261807448375052,-0.6816806276591585,0,-1.0,0.629026605302711,0,-1.0,0.629026605302711,0.1511186877039612,True
29,30.59057971014493,NACL,31.32758620689655,28.80851063829787,under,30.5,won,1.83,29.0,-0.5685724682663711,0.0,0.0,0.0,0.6655385399034301,-0.8095983863874423,0.9020397066897204,0.0,-1.1261807448375052,-1.057365285027263,1,0.8300000000000001,0.6280958128451481,1,0.8300000000000001,0.6280958128451481,0.14941533750662117,True
25,27.25563909774436,LCP,26.557692307692307,27.753846153846155,under,26.5,won,1.83,25.0,0.0,0.0,-0.7760435577368519,1.256750867247696,0.0,-1.0617142411045393,0.0,0.0,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.627505734827731,1,0.8300000000000001,0.627505734827731,0.14833549473474772,True
