league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LIT,Zena Esports,Colossal Gaming,Sion,Wukong,Taliyah,Ezreal,Bard,K'Sante,Xin Zhao,Orianna,Jinx,Nautilus,40,28.5
EBL,BeFive,Crvena zvezda Esports,Renekton,Nidalee,Azir,Xayah,Nautilus,Ornn,Trundle,Syndra,Miss Fortune,Rakan,30,35.5
EBL,BeFive,Crvena zvezda Esports,Ambessa,Vi,Akali,Kai'Sa,Neeko,Sett,Wukong,Orianna,Ezreal,Karma,50,35.5
LIT,aNc Legends,GMBLERS Esports,Gwen,Xin Zhao,Aurora,Aphelios,Nautilus,Jayce,Poppy,Taliyah,Kai'Sa,Leona,25,27.5
NACL,Conviction,Winthrop University,Renekton,Vi,Taliyah,Jhin,Rakan,Sion,Xin Zhao,Azir,Vayne,Karma,29,30.5
NACL,Citadel Gaming,CCG Esports,Rumble,Trundle,Ryze,Miss Fortune,Neeko,Galio,Wukong,Taliyah,Jhin,Karma,26,31.5
LPL,Ninjas in Pyjamas,Ultra Prime,Gwen,Xin Zhao,Taliyah,Kai'Sa,Rell,Rumble,Wukong,Ryze,Ezreal,Braum,18,28.5
LPL,Ninjas in Pyjamas,Ultra Prime,Sion,Jarvan IV,Ekko,Varus,Alistar,Yorick,Lee Sin,Viktor,Jhin,Rakan,11,28.5
HLL,Team Insidious,Team Paradox,Gwen,Xin Zhao,Taliyah,Corki,Poppy,Ambessa,Jarvan IV,Orianna,Senna,Rell,43,36.5
HLL,Team Insidious,Team Paradox,Jayce,Sejuani,Aurora,Jhin,Leona,Rumble,Maokai,Yone,Ezreal,Nautilus,40,36.5
LCP,Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,K'Sante,Wukong,Aurora,Varus,Rell,Sion,Trundle,Ryze,Lucian,Braum,19,26.5
LCP,Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,Jax,Ivern,Azir,Xayah,Rakan,Ambessa,Maokai,Yone,Sivir,Nautilus,24,26.5
PRM,Austrian Force willhaben,ROSSMANN Centaurs,Rumble,Wukong,Azir,Xayah,Rakan,Gwen,Sejuani,Yone,Senna,Leona,32,30.5
PRM,Austrian Force willhaben,ROSSMANN Centaurs,Sion,Nocturne,Orianna,Sivir,Alistar,Aatrox,Vi,Ahri,Smolder,Nautilus,48,30.5
LTA N,Team Liquid,100 Thieves,Rumble,Vi,Taliyah,Kai'Sa,Rell,Sion,Trundle,Orianna,Lucian,Braum,24,28.5
LTA N,Team Liquid,100 Thieves,K'Sante,Jarvan IV,Viktor,Senna,Nautilus,Renekton,Wukong,Annie,Ezreal,Alistar,37,28.5
PCS,Frank Esports,CTBC Flying Oyster Academy,Jayce,Jarvan IV,Annie,Varus,Elise,Sion,Trundle,Azir,Sivir,Braum,23,36.5
PCS,Frank Esports,CTBC Flying Oyster Academy,Gwen,Wukong,Ahri,Ezreal,Alistar,Jax,Skarner,Ryze,Kai'Sa,Renata Glasc,33,36.5
LPL,Top Esports,JD Gaming,Ornn,Trundle,Azir,Sivir,Alistar,Rumble,Maokai,Yone,Zeri,Rakan,25,28.5
LPL,Top Esports,JD Gaming,K'Sante,Jarvan IV,Taliyah,Aphelios,Nautilus,Gnar,Xin Zhao,Viktor,Kai'Sa,Rell,27,28.5
CD,Flamengo MDL,Los Grandes,Rumble,Wukong,Sylas,Xayah,Rakan,K'Sante,Vi,Ahri,Kai'Sa,Rell,31,31.5
CD,Rise Gaming,Corinthians Esports,Rumble,Trundle,Taliyah,Sivir,Rakan,Ambessa,Vi,Ahri,Jinx,Nautilus,29,30.5
CD,Stellae Gaming,KaBuM! Ilha das Lendas,Gwen,Jarvan IV,Azir,Sivir,Bard,Jax,Evelynn,Orianna,Jhin,Alistar,29,30.5
CD,Vivo Keyd Stars Academy,e-Champ Gaming,Gwen,Pantheon,Viktor,Jhin,Rell,Rumble,Xin Zhao,Ryze,Varus,Alistar,32,31.5
CD,RED Academy,Alpha7 Esports,Ambessa,Ivern,Aurora,Sivir,Alistar,Aatrox,Trundle,Orianna,Kai'Sa,Poppy,31,31.5
LCK,OKSavingsBank BRION Challengers,Nongshim Esports Academy,Ambessa,Vi,Ahri,Corki,Rell,Renekton,Xin Zhao,Taliyah,Lucian,Braum,23,28.5
LCK,OKSavingsBank BRION Challengers,Nongshim Esports Academy,Gwen,Nocturne,Twisted Fate,Kai'Sa,Alistar,Rumble,Trundle,Aurora,Jhin,Bard,31,28.5
LPL,FunPlus Phoenix,Invictus Gaming,Gwen,Wukong,Taliyah,Corki,Rell,Aurora,Vi,Orianna,Senna,Alistar,43,28.5
LPL,FunPlus Phoenix,Invictus Gaming,Ornn,Poppy,Viktor,Ezreal,Karma,Rumble,Xin Zhao,Sylas,Lucian,Thresh,36,28.5
RL,Zero Tenacity,DOCISK,Naafiri,Trundle,Aurora,Lucian,Nautilus,Sion,Poppy,Azir,Varus,Renata Glasc,50,29.5
RL,Zero Tenacity,DOCISK,Jax,Wukong,Ryze,Ezreal,Alistar,Ambessa,Gwen,Ahri,Corki,Rakan,42,29.5
LVP SL,Veni Vidi Vici,ZETA,Gwen,Jarvan IV,Azir,Kai'Sa,Rell,Jayce,Vi,Hwei,Smolder,Poppy,32,30.5
CD,Los Grandes,RED Academy,Aurora,Nocturne,Taliyah,Kai'Sa,Nautilus,Yorick,Sejuani,Azir,Jhin,Poppy,29,31.5
CD,Corinthians Esports,Vivo Keyd Stars Academy,Ambessa,Jarvan IV,Azir,Jhin,Rakan,Gwen,Pantheon,Annie,Varus,Alistar,20,31.5
